unique_id,ds,y_hat
junction_1,2017-07-01 00:00:00,70.08024
junction_1,2017-07-01 01:00:00,53.497513
junction_1,2017-07-01 02:00:00,45.821087
junction_1,2017-07-01 03:00:00,35.50165
junction_1,2017-07-01 04:00:00,29.023136
junction_1,2017-07-01 05:00:00,26.26325
junction_1,2017-07-01 06:00:00,31.61882
junction_1,2017-07-01 07:00:00,39.444813
junction_1,2017-07-01 08:00:00,44.42153
junction_1,2017-07-01 09:00:00,56.265995
junction_1,2017-07-01 10:00:00,79.321144
junction_1,2017-07-01 11:00:00,93.95563
junction_1,2017-07-01 12:00:00,96.03578
junction_1,2017-07-01 13:00:00,85.594505
junction_1,2017-07-01 14:00:00,98.44268
junction_1,2017-07-01 15:00:00,97.903595
junction_1,2017-07-01 16:00:00,89.99124
junction_1,2017-07-01 17:00:00,89.74116
junction_1,2017-07-01 18:00:00,95.20576
junction_1,2017-07-01 19:00:00,103.99089
junction_1,2017-07-01 20:00:00,95.552055
junction_1,2017-07-01 21:00:00,87.936615
junction_1,2017-07-01 22:00:00,82.41905
junction_1,2017-07-01 23:00:00,79.64359
