unique_id,ds,y_hat
junction_1,2017-07-01 00:00:00,66.0
junction_1,2017-07-01 01:00:00,54.0
junction_1,2017-07-01 02:00:00,47.0
junction_1,2017-07-01 03:00:00,42.0
junction_1,2017-07-01 04:00:00,33.0
junction_1,2017-07-01 05:00:00,29.0
junction_1,2017-07-01 06:00:00,34.0
junction_1,2017-07-01 07:00:00,36.0
junction_1,2017-07-01 08:00:00,38.0
junction_1,2017-07-01 09:00:00,44.0
junction_1,2017-07-01 10:00:00,51.0
junction_1,2017-07-01 11:00:00,55.0
junction_1,2017-07-01 12:00:00,55.0
junction_1,2017-07-01 13:00:00,53.0
junction_1,2017-07-01 14:00:00,55.0
junction_1,2017-07-01 15:00:00,56.0
junction_1,2017-07-01 16:00:00,58.0
junction_1,2017-07-01 17:00:00,56.0
junction_1,2017-07-01 18:00:00,58.0
junction_1,2017-07-01 19:00:00,65.0
junction_1,2017-07-01 20:00:00,64.0
junction_1,2017-07-01 21:00:00,66.0
junction_1,2017-07-01 22:00:00,64.0
junction_1,2017-07-01 23:00:00,63.0
